event_id,t0_iso,entry_price,A,B,C,D,price_t45,price_t60,A_45,A_60,B_45,B_60,C_45,C_60,D_45,D_60
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475380000,2026-09-15T12:29:40.883Z,0.985035,WAIT,WAIT,WAIT,WAIT,0.98513,0.984677,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475400000,2026-09-15T12:30:03.992Z,0.984985,WAIT,WAIT,WAIT,WAIT,0.984677,0.984665,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475405000,2026-09-15T12:30:06.299Z,0.984985,WAIT,WAIT,WAIT,WAIT,0.984677,0.984665,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475410000,2026-09-15T12:30:14.488Z,0.985025,WAIT,WAIT,WAIT,WAIT,0.984677,0.984526,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475415000,2026-09-15T12:30:17.107Z,0.985075,WAIT,WAIT,WAIT,BUY,0.984677,0.984526,,,,,,,LOSS,LOSS
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475420000,2026-09-15T12:30:24.226Z,0.985125,WAIT,WAIT,WAIT,WAIT,0.984665,0.984442,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475435000,2026-09-15T12:30:37.343Z,0.985066,WAIT,WAIT,WAIT,WAIT,0.984515,0.98471,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475460000,2026-09-15T12:31:02.553Z,0.984677,WAIT,WAIT,WAIT,WAIT,0.98471,0.984725,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475470000,2026-09-15T12:31:12.684Z,0.984615,WAIT,WAIT,WAIT,WAIT,0.98471,0.984765,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475475000,2026-09-15T12:31:18.875Z,0.984545,WAIT,WAIT,WAIT,WAIT,0.984725,0.984785,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475480000,2026-09-15T12:31:23.851Z,0.984515,WAIT,WAIT,WAIT,WAIT,0.984745,0.984836,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475485000,2026-09-15T12:31:25.997Z,0.984442,WAIT,WAIT,WAIT,WAIT,0.984745,0.984836,,,,,,,,
